COUNTRY;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Total;;
Germany;3.378.343;3.341.718;3.252.898;3.236.938;3.266.825;3.319.259;3.467.961;3.148.163;3.090.040;3.807.175;2.916.259;3.173.634;3.082.504;2.952.431;3.036.773;3.206.042;3.351.607;3.441.261;3.435.778;3.607.258;2.917.678;68.430.545;;7993,638356
United Kingdom;2.221.670;2.458.769;2.563.631;2.579.050;2.567.269;2.439.717;2.344.864;2.404.007;2.131.795;1.994.999;2.030.846;1.941.253;2.044.609;2.264.737;2.476.435;2.633.503;2.692.786;2.540.617;2.367.147;2.311.140;1.631.064;48.639.908;;
France;2.133.884;2.254.732;2.145.071;2.009.246;2.013.709;2.067.789;2.000.549;2.064.543;2.050.282;2.302.398;2.251.669;2.204.229;1.898.760;1.790.456;1.795.885;1.917.226;2.015.177;2.110.748;2.173.481;2.214.279;1.650.118;43.064.231;;
Italy;2.423.084;2.413.455;2.279.612;2.247.019;2.264.688;2.237.444;2.326.049;2.493.106;2.161.682;2.159.463;1.961.579;1.749.739;1.403.010;1.304.648;1.360.578;1.569.085;1.825.892;1.971.345;1.910.701;1.916.951;1.381.646;41.360.776;;
Spain;1.381.256;1.425.573;1.331.877;1.382.109;1.517.286;1.528.877;1.634.608;1.614.835;1.161.176;952.772;982.015;808.051;699.589;722.689;855.308;1.034.232;1.147.009;1.234.932;1.321.437;1.258.251;851.210;24.845.092;;
Belgium;515.204;488.683;467.569;458.796;484.757;480.088;526.141;524.795;535.947;476.194;547.340;572.211;486.737;486.065;482.939;501.066;539.519;546.558;549.632;550.003;431.491;10.651.735;;
Netherlands;597.625;530.231;510.702;488.841;483.745;465.152;483.970;505.538;499.918;387.152;482.567;555.844;502.496;416.674;387.572;448.925;382.514;414.306;443.530;445.217;355.595;9.788.114;;
Austria;309.427;293.528;279.493;300.121;311.292;307.915;308.594;298.182;293.697;319.403;328.563;356.145;336.010;319.035;303.318;308.555;329.604;353.320;341.068;329.363;248.740;6.575.373;;
Poland;;;;358.432;318.111;235.522;238.993;293.305;320.040;320.206;333.490;297.937;270.895;288.998;325.371;352.378;418.033;487.593;531.335;553.942;428.527;6.373.108;;
Sweden;290.529;246.581;254.589;261.206;264.246;274.301;282.766;306.799;253.982;213.408;289.684;304.984;279.899;269.558;303.948;345.108;372.318;379.393;353.729;356.036;292.024;6.195.088;;
Switzerland;316.519;316.641;295.065;270.309;269.385;264.941;269.452;284.688;288.557;266.049;292.453;316.846;325.948;305.928;300.110;321.669;315.295;311.996;299.135;311.256;236.703;6.178.945;;
Portugal;257.836;255.210;226.092;189.792;197.645;206.488;194.702;201.816;213.389;161.013;223.464;153.404;95.309;105.921;142.826;178.503;207.330;222.129;228.327;223.799;145.136;4.030.131;;
Greece;290.222;280.214;268.489;257.293;289.691;269.728;267.669;279.745;267.295;219.730;141.501;97.680;58.479;58.696;71.222;75.804;78.873;88.083;103.431;114.226;80.977;3.659.048;;
Czech Republic;;;;152.981;143.622;151.699;156.686;174.456;182.554;167.708;169.580;173.595;173.988;164.746;192.314;230.857;259.693;271.595;261.437;249.915;202.971;3.480.397;;
Denmark;112.690;96.173;111.585;96.078;121.490;146.885;154.385;159.347;150.145;112.201;153.587;169.744;170.600;181.896;188.612;206.999;222.895;221.592;218.358;225.410;198.162;3.418.834;;
Ireland;230.795;164.730;156.125;145.223;154.136;171.742;178.484;186.325;151.607;57.453;88.446;89.878;79.574;74.367;96.284;124.804;146.649;131.332;125.671;117.109;88.324;2.759.058;;
Norway;97.376;91.916;88.721;89.921;115.645;109.907;109.164;129.195;110.617;98.675;127.754;138.345;137.967;142.151;144.202;150.686;154.603;158.650;147.929;142.381;141.405;2.627.210;;
Finland;134.646;109.487;116.877;147.222;142.439;147.949;145.689;125.285;139.611;88.344;107.346;121.171;111.147;103.314;106.259;108.844;118.912;118.529;120.480;114.188;96.430;2.524.169;;
Hungary;;;;208.426;207.055;198.982;187.676;171.661;153.278;60.189;43.476;45.094;53.059;56.139;67.476;77.171;96.555;116.265;136.601;157.906;128.031;2.165.040;;
Slovakia;;;;59.742;57.430;57.125;59.084;59.700;70.040;74.717;64.033;68.254;69.268;66.000;72.252;77.979;88.165;96.105;98.195;101.568;76.305;1.315.962;;
Romania1;;;;;;;;;;130.195;106.328;94.619;72.143;57.710;70.172;81.162;94.919;105.083;130.919;161.562;126.351;1.231.163;;
Slovenia;;;;59.548;62.002;59.324;59.578;68.719;71.575;57.967;61.142;60.193;50.091;51.585;53.959;59.664;58.963;62.522;65.115;59.862;40.200;1.062.009;;
Luxembourg;41.896;42.833;43.403;43.620;48.234;48.517;50.837;51.332;52.359;47.265;49.726;49.881;50.398;46.624;49.793;46.473;50.561;52.775;52.786;54.923;45.104;1.019.340;;
Bulgaria;;;;;;;32.481;41.042;43.758;24.972;15.646;19.252;20.986;20.718;21.186;24.256;28.216;33.265;37.506;39.419;27.214;429.917;;
Estonia;;;;15.602;16.436;19.640;25.363;30.912;24.579;9.946;10.295;17.070;19.424;19.694;21.135;21.033;22.997;25.618;26.297;27.585;19.278;372.904;;
Croatia;;;;;;;;;;;;;;27.802;33.962;35.715;44.106;50.769;60.041;62.938;36.084;351.417;;
Lithuania;;;;7.543;9.493;10.467;14.234;21.606;22.217;7.515;7.970;13.234;12.165;12.163;14.461;17.071;20.284;25.836;32.382;46.388;40.338;335.367;;
Latvia;;;;8.713;11.217;16.602;25.582;32.771;19.831;5.367;6.365;10.980;10.665;10.636;12.452;13.766;16.357;16.698;16.878;18.233;13.516;266.629;;
Iceland;13.569;7.245;6.943;9.885;11.968;18.060;17.129;15.942;9.033;2.113;3.106;5.038;7.930;7.274;9.520;14.008;18.473;21.324;17.976;11.719;9.369;237.624;;
Total;14.746.571;14.817.719;14.398.742;15.083.656;15.349.816;15.254.120;15.562.690;15.687.815;14.469.004;14.524.589;13.796.230;13.608.305;12.523.650;12.328.655;12.996.324;14.182.584;15.118.305;15.610.239;15.607.302;15.782.827;11.939.991;303.389.134;;
;;;;;;;;;;;;;;;;;;;;;;;;